family,parameter,k,pattern,canonical,add_property,length,condition,n,observed_vocab_size,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95
k-mer,k=9,9,,False,False,69,N_3pct,240,13971,0.8645904727681165,0.8395939690034014,0.5159805871721129,0.5664027383348321
canonical k-mer,k=4,4,,True,False,69,N_3pct,240,136,0.9644413043811885,0.9500517361431536,0.2637103037969512,0.3160641111313046
canonical k-mer,k=5,5,,True,False,69,N_3pct,240,512,0.9385579256340736,0.9208400734347996,0.3479340589477708,0.39789321816894374
canonical k-mer,k=6,6,,True,False,69,N_3pct,240,2052,0.9162226730938566,0.9013878188659972,0.40695308794045754,0.4440994959105508
canonical k-mer,k=7,7,,True,False,69,N_3pct,240,6265,0.898236200747042,0.8819171036881974,0.4482914355670128,0.48596892145857074
canonical k-mer,k=8,8,,True,False,69,N_3pct,240,11013,0.88131489519113,0.8613567692141098,0.4836502038643689,0.5265799669297936
canonical k-mer,k=9,9,,True,False,69,N_3pct,240,13348,0.8648680089301874,0.8395939690034014,0.5153930358829508,0.5664027383348321
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,69,N_3pct,240,136,0.9644413043811885,0.9500517361431536,0.2637103037969512,0.3160641111313046
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,69,N_3pct,240,147,0.9943406197100082,0.9926964186649339,0.10585952837574747,0.12086006415753128
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,69,N_3pct,240,136,0.9622180662437904,0.9465106489174872,0.2722723357839065,0.32707577145803435
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,69,N_3pct,240,147,0.994106640201944,0.9924115131616572,0.10813268450537458,0.12319468374837998
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,69,N_3pct,240,136,0.9628391511894527,0.9467300207126776,0.26996045083189524,0.32640459337246464
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,69,N_3pct,240,147,0.9941707230037352,0.9924475564593769,0.10749599000432093,0.12290191420741328
canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,69,N_3pct,240,136,0.9609346452649417,0.9435905342530431,0.27686678417170224,0.3358830894459517
canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,69,N_3pct,240,147,0.9939638636184559,0.9918774385948023,0.10937630772449405,0.12745632337945598
canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,69,N_3pct,240,136,0.9611955880059623,0.9428754931781915,0.2756451257734733,0.3380074073975068
canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,69,N_3pct,240,147,0.9939914095329747,0.9919729459044379,0.10908680483296544,0.1267047267326085
k-mer,k=4,4,,False,False,69,substitution_1pct,240,256,0.9718945691297916,0.9071582523950792,0.1636944221729765,0.4309095967557099
k-mer,k=5,5,,False,False,69,substitution_1pct,240,1023,0.9564389544243979,0.8609414397336076,0.20380209166388036,0.5273675380505399
k-mer,k=6,6,,False,False,69,substitution_1pct,240,3828,0.9451948134035003,0.8181818181818188,0.22827264058629843,0.6030226891555273
k-mer,k=7,7,,False,False,69,substitution_1pct,240,9080,0.9458605179552867,0.8102647761623657,0.2264279871178142,0.6160069686372298
k-mer,k=8,8,,False,False,69,substitution_1pct,240,12687,0.9503573934121863,0.8276738052573803,0.2159741317328025,0.5870707385834283
k-mer,k=9,9,,False,False,69,substitution_1pct,240,13971,0.9512224268048117,0.8395939690034014,0.21375591017267626,0.5664027383348321
canonical k-mer,k=4,4,,True,False,69,substitution_1pct,240,136,0.977253805033519,0.9224833052066227,0.1462818912787895,0.3937420901802575
canonical k-mer,k=5,5,,True,False,69,substitution_1pct,240,512,0.9608922532265739,0.8734929846827842,0.19285003106998985,0.5030019154325123
canonical k-mer,k=6,6,,True,False,69,substitution_1pct,240,2052,0.9460122814978714,0.8235294117647074,0.22646619123659306,0.5940885257860049
canonical k-mer,k=7,7,,True,False,69,substitution_1pct,240,6265,0.9407633110730244,0.7935043256185655,0.2365107286022519,0.642643266559253
canonical k-mer,k=8,8,,True,False,69,substitution_1pct,240,11013,0.9439789760504251,0.8024612170498601,0.22970124037223696,0.6285519595867005
