retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features
0.7738095238095238,0.9999946187121748,0.9999818921788809,0.002076329902172511,0.006017913804195002,1.825671918158184e-05,0.7404761904761905,69,short_indel,p,P,420,11
1.0,0.9998959087671415,0.9996526656528776,0.009631866364957671,0.0263565657308616,0.0016482560738003825,1.0,69,short_indel,msp,MSP,420,75
1.0,0.9917362695087715,0.9699055342080792,0.08543675911940771,0.24533432614105846,0.17734785742512613,1.0,69,short_indel,ck4_p,CK4+P,420,147
1.0,0.9916869145362549,0.969836958351649,0.08572763258056626,0.24561368708093795,0.1798130221578197,1.0,69,short_indel,ck4_msp,CK4+MSP,420,211
1.0,0.9999452637396582,0.9998234608911684,0.006993774044065572,0.018790357966623563,0.0009496234094329835,1.0,69,short_indel,p_msp,P+MSP,420,86
1.0,0.9944561492615617,0.9798853496218337,0.07000876957326414,0.20057243218445334,0.12021906618253103,1.0,69,short_indel,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9762934347434836,0.9176443739134805,0.15009510764883496,0.4058463350597531,0.34563689178028756,1.0,70,substitution_1pct,ck4,CK4,420,136
0.6523809523809524,0.9999880455759591,0.9999527152521764,0.0032147875286646917,0.00972464091796001,1.4864854851665e-05,0.6285714285714286,70,substitution_1pct,p,P,420,11
0.9976190476190476,0.9999188505833984,0.9997256154845903,0.008674352545123708,0.023425803194102965,0.0016143753737720954,0.9976190476190476,70,substitution_1pct,msp,MSP,420,75
1.0,0.9881407401597214,0.9588116340229986,0.10617831366624415,0.28701346373162917,0.17334766462538137,1.0,70,substitution_1pct,ck4_p,CK4+P,420,147
1.0,0.988106142663441,0.9587207703116505,0.10635683549827671,0.2873298513758081,0.17569862439717668,1.0,70,substitution_1pct,ck4_msp,CK4+MSP,420,211
0.9976190476190476,0.9999534480796789,0.9998413307504691,0.006582833890989903,0.017813996970418737,0.0009261207878278382,0.9976190476190476,70,substitution_1pct,p_msp,P+MSP,420,86
1.0,0.9920667769676137,0.9724734782519396,0.0868660668301802,0.23463382258850102,0.11746769439205854,1.0,70,substitution_1pct,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9657871139485034,0.953511306041889,0.25932416916948814,0.3049217612875747,0.3422694304964549,1.0,70,N_3pct,ck4,CK4,420,136
0.05,0.9980532179024991,0.9976469980245817,0.062325442365240465,0.06860031706360666,-0.00032298479205915075,0.047619047619047616,70,N_3pct,p,P,420,11
0.9857142857142858,0.9990347576598517,0.9980927510526059,0.04309160306008814,0.06176161295029955,0.001337368454888677,0.9857142857142858,70,N_3pct,msp,MSP,420,75
1.0,0.981920165925501,0.9757978962709641,0.18871517843105504,0.22000947023096573,0.17185316786983873,1.0,70,N_3pct,ck4_p,CK4+P,420,147
1.0,0.9824109358041775,0.9761251272718539,0.18605324113149466,0.218517145972077,0.17399183273045077,1.0,70,N_3pct,ck4_msp,CK4+MSP,420,211
0.9404761904761905,0.9985439877811753,0.9980683548484846,0.05379486809396881,0.062155335837806684,0.000702453442535896,0.9404761904761905,70,N_3pct,p_msp,P+MSP,420,86
1.0,0.9876250298369514,0.9834612307954561,0.15620822724459435,0.18187229567858465,0.11645747928906842,1.0,70,N_3pct,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9773474957009615,0.9691523825335788,0.21102612519933447,0.24838495112391676,0.3496609978259944,1.0,70,trim_5bp,ck4,CK4,420,136
