split,classifier,accuracy,macro_f1,length,local_mode,representation,representation_label,n_triplets,n_features,accuracy_std,macro_f1_std
5fold_grouped_cv,logistic,0.961111111111111,0.9610002912658009,53,right,ck4_p,CK4+P,180,147,0.02693155476342406,0.027034130093480234
holdout,logistic,0.975,0.9749843652282677,53,right,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.9888888888888889,0.9888867451283041,53,right,ck4_msp,CK4+MSP,180,211,0.005555555555555536,0.005556627435847972
holdout,logistic,0.975,0.9749843652282677,53,right,p_msp,P+MSP,180,86,,
5fold_grouped_cv,logistic,0.986111111111111,0.9861052132863826,53,right,p_msp,P+MSP,180,86,0.008784104611578835,0.008790888587498947
holdout,logistic,0.975,0.9749843652282677,53,right,ck4_p_msp,CK4P-MSP,180,222,,
5fold_grouped_cv,logistic,0.9888888888888889,0.9888867451283041,53,right,ck4_p_msp,CK4P-MSP,180,222,0.005555555555555536,0.005556627435847972
holdout,logistic,0.9666666666666667,0.9666295884315907,54,center,ck4,CK4,180,136,,
5fold_grouped_cv,logistic,0.9638888888888889,0.9638626004858084,54,center,ck4,CK4,180,136,0.0188398055086813,0.018844407916196487
holdout,logistic,0.6583333333333333,0.6581196581196581,54,center,p,P,180,11,,
5fold_grouped_cv,logistic,0.6277777777777778,0.6263942187831827,54,center,p,P,180,11,0.06655082528172744,0.06770608981584872
holdout,logistic,0.9833333333333333,0.9833287024173382,54,center,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.9777777777777779,0.9777541690754283,54,center,msp,MSP,180,75,0.01416394309331329,0.014186894319585907
holdout,logistic,0.9666666666666667,0.9666295884315907,54,center,ck4_p,CK4+P,180,147,,
5fold_grouped_cv,logistic,0.961111111111111,0.9610735455952847,54,center,ck4_p,CK4+P,180,147,0.010393492741038726,0.010392108947127568
holdout,logistic,0.975,0.9749843652282677,54,center,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.9833333333333334,0.9833236814444609,54,center,ck4_msp,CK4+MSP,180,211,0.010393492741038736,0.010402379395098641
holdout,logistic,0.975,0.9749843652282677,54,center,p_msp,P+MSP,180,86,,
5fold_grouped_cv,logistic,0.9833333333333334,0.9833236814444609,54,center,p_msp,P+MSP,180,86,0.010393492741038736,0.010402379395098641
holdout,logistic,0.9833333333333333,0.9833287024173382,54,center,ck4_p_msp,CK4P-MSP,180,222,,
