length,local_mode,binset,bins,max_bin_count,gamma,n_triplets,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,selective_sensitivity_ratio_mean,k_dim,p_dim,m_dim,total_dim,split,classifier,accuracy,macro_f1,accuracy_std,macro_f1_std
51,center,2,2,2,1.0,180,0.37691229925425945,0.26495550758913083,-0.11195679166512872,0.7093246163527113,136,11,10,157,5fold_grouped_cv,logistic,0.9527777777777778,0.9527042047167106,0.0068041381743977475,0.006831960512187961
51,center,2_3,2+3,3,1.0,180,0.3770427443743311,0.2652202489692048,-0.11182249540512623,0.7097672674979443,136,11,25,172,holdout,logistic,0.9916666666666667,0.9916660879227724,,
51,center,2_3,2+3,3,1.0,180,0.3770427443743311,0.2652202489692048,-0.11182249540512623,0.7097672674979443,136,11,25,172,5fold_grouped_cv,logistic,0.986111111111111,0.9861052132863826,0.008784104611578835,0.008790888587498949
51,center,2_3_4,2+3+4,4,1.0,180,0.37716730067260534,0.26545358280492193,-0.11171371786768339,0.710145725094915,136,11,45,192,holdout,logistic,0.975,0.9749982637683172,,
51,center,2_3_4,2+3+4,4,1.0,180,0.37716730067260534,0.26545358280492193,-0.11171371786768339,0.710145725094915,136,11,45,192,5fold_grouped_cv,logistic,0.986111111111111,0.9861052132863826,0.008784104611578835,0.008790888587498949
51,center,2_3_4_6,2+3+4+6,6,1.0,180,0.37737701111100835,0.26594095417408836,-0.11143605693692005,0.7110305988045427,136,11,75,222,holdout,logistic,0.9833333333333333,0.9833287024173382,,
51,center,2_3_4_6,2+3+4+6,6,1.0,180,0.37737701111100835,0.26594095417408836,-0.11143605693692005,0.7110305988045427,136,11,75,222,5fold_grouped_cv,logistic,0.9833333333333334,0.9833236814444609,0.010393492741038736,0.010402379395098641
51,jittered,2,2,2,1.0,180,0.371270835515235,0.26967230476449777,-0.10159853075073715,0.7332485749994441,136,11,10,157,holdout,logistic,0.9166666666666666,0.9164578111946533,,
51,jittered,2,2,2,1.0,180,0.371270835515235,0.26967230476449777,-0.10159853075073715,0.7332485749994441,136,11,10,157,5fold_grouped_cv,logistic,0.9111111111111111,0.9109876135365672,0.02576005137637696,0.025811680691271613
51,jittered,2_3,2+3,3,1.0,180,0.37140036967343,0.2699076348802778,-0.1014927347931522,0.7336235330328638,136,11,25,172,holdout,logistic,0.925,0.9247439202843007,,
