retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,binset,bins,max_bin_count,gamma,n_pairs,k_dim,p_dim,m_dim,total_dim
1.0,0.9920892775242494,0.9712828472295086,0.0845218465699993,0.23965454609005996,0.11897888470848557,1.0,68,substitution_1pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9871605740176855,0.9813599716366169,0.1587785152260608,0.19308043091494675,0.11647262860719018,1.0,68,N_3pct,2,2,2,1.0,420,136,11,10,157
1.0,0.9871027680556679,0.981340215404897,0.15914797817778792,0.1931827005613961,0.11671264986235545,1.0,68,N_3pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9870506751624494,0.9813220035145515,0.15948438838777995,0.193276930742254,0.1170244615996937,1.0,68,N_3pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9869439078129939,0.9812208034666009,0.16017022383000915,0.19379983681477134,0.11756738369619281,1.0,68,N_3pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9922180887736385,0.9901099025379821,0.1239836759598464,0.14064206626863524,0.1188046844753714,1.0,68,trim_5bp,2,2,2,1.0,420,136,11,10,157
1.0,0.992172818456314,0.9899885471530339,0.12435087898922394,0.14150230349833304,0.11904909951832796,1.0,68,trim_5bp,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9920603241112772,0.9898572498592025,0.1252584948930574,0.1424271721865619,0.11927990258983388,1.0,68,trim_5bp,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9918755905162819,0.9895807342685058,0.12672422086221344,0.14435556868142008,0.11968937570313225,1.0,68,trim_5bp,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9796114746090282,0.9580025929042945,0.19525358897748887,0.28981753180836145,0.10966610382698268,1.0,68,substitution_1pct_N_3pct,2,2,2,1.0,420,136,11,10,157
1.0,0.9795497659630298,0.9579705767168103,0.19558445593394458,0.2899278874247087,0.10993974058553369,1.0,68,substitution_1pct_N_3pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9794831913690513,0.9579949379811584,0.19594596152897906,0.28984369498401286,0.11023766834568138,1.0,68,substitution_1pct_N_3pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9793741329598504,0.9579211425912139,0.1965285820616509,0.2900981060973829,0.11078381396319328,1.0,68,substitution_1pct_N_3pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
