sample_id,length,local_mode,representation,representation_label,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,n_features
L69_center_00072,69,center,ck4,CK4,0.4392599878975,0.33596370303800244,-0.10329628485949754,0.7648402137560468,136
L69_center_00073,69,center,ck4,CK4,0.3956113366690471,0.30846670096033324,-0.08714463570871384,0.7797215912909603,136
L69_center_00074,69,center,ck4,CK4,0.36833879498106603,0.28706057650472583,-0.0812782184763402,0.7793384254283663,136
L69_center_00075,69,center,ck4,CK4,0.4448948997037983,0.3050816636719017,-0.1398132360318966,0.6857387303720917,136
L69_center_00076,69,center,ck4,CK4,0.3411818255496273,0.2911112548697911,-0.05007057067983617,0.8532437341901934,136
L69_center_00077,69,center,ck4,CK4,0.4127209777175639,0.3202398321303794,-0.09248114558718451,0.7759233220985635,136
L69_center_00078,69,center,ck4,CK4,0.4416736827483285,0.32092362434488714,-0.12075005840344138,0.7266079843107919,136
L69_center_00079,69,center,ck4,CK4,0.39561133666904696,0.31008683647302115,-0.08552450019602581,0.7838168619834768,136
L69_center_00080,69,center,ck4,CK4,0.3615855260900683,0.3022796208131548,-0.059305905276913484,0.835983741057874,136
L69_center_00081,69,center,ck4,CK4,0.40311994578646426,0.33132457842033175,-0.07179536736613251,0.8219007317386298,136
L69_center_00082,69,center,ck4,CK4,0.3269640522775952,0.3594040993269683,0.032440047049373144,1.099215943842754,136
L69_center_00083,69,center,ck4,CK4,0.27939555409096345,0.3162277660168379,0.036832211925874436,1.131828196213469,136
L69_center_00084,69,center,ck4,CK4,0.31252758143820664,0.3176684061121656,0.005140824673958988,1.016449187141505,136
L69_center_00085,69,center,ck4,CK4,0.4275831619678998,0.32901153193317956,-0.09857163003472025,0.7694679332528993,136
L69_center_00086,69,center,ck4,CK4,0.44521858017661076,0.34099716973523675,-0.10422141044137401,0.7659095664874742,136
L69_center_00087,69,center,ck4,CK4,0.3736681527275063,0.3194382824999699,-0.05422987022753639,0.85487157567029,136
L69_center_00088,69,center,ck4,CK4,0.30448011492172583,0.30448011492172583,0.0,1.0,136
L69_center_00089,69,center,ck4,CK4,0.3979014577296566,0.31966374033321343,-0.0782377173964432,0.8033741372980853,136
L69_center_00090,69,center,ck4,CK4,0.426401432711221,0.3370999312316211,-0.08930150147959992,0.7905694150420947,136
L69_center_00091,69,center,ck4,CK4,0.2917299829957891,0.414653261313358,0.12292327831756888,1.4213597692471096,136
L69_center_00092,69,center,ck4,CK4,0.41005401672542535,0.3073437246524405,-0.10271029207298488,0.7495200927594856,136
L69_center_00093,69,center,ck4,CK4,0.3940213969076219,0.3073437246524404,-0.08667767225518147,0.7800178545240196,136
L69_center_00094,69,center,ck4,CK4,0.4050557759856631,0.313980133053945,-0.0910756429317181,0.7751528349149088,136
L69_center_00095,69,center,ck4,CK4,0.3476823960556043,0.31311214554257477,-0.03457025051302953,0.9005694538888855,136
