sample_id,length,local_mode,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,n_features
L69_center_00022,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3009874755451905,136
L69_center_00023,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3049284294311756,136
L69_center_00024,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3221104011474494,136
L69_center_00025,69,center,ck4,CK4,contiguous_random,contiguous,random,0.34246912659892903,136
L69_center_00026,69,center,ck4,CK4,contiguous_random,contiguous,random,0.2510987485970538,136
L69_center_00027,69,center,ck4,CK4,contiguous_random,contiguous,random,0.35116059910784375,136
L69_center_00028,69,center,ck4,CK4,contiguous_random,contiguous,random,0.28127169538588814,136
L69_center_00029,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3209236243448871,136
L69_center_00030,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3221104011474494,136
L69_center_00031,69,center,ck4,CK4,contiguous_random,contiguous,random,0.2963049563409591,136
L69_center_00032,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3065947257481726,136
L69_center_00033,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3412822330681097,136
L69_center_00034,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3755633354398479,136
L69_center_00035,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3313245784203318,136
L69_center_00036,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3283892203448465,136
L69_center_00037,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3221104011474494,136
L69_center_00038,69,center,ck4,CK4,contiguous_random,contiguous,random,0.27409677479712746,136
L69_center_00039,69,center,ck4,CK4,contiguous_random,contiguous,random,0.320923624344887,136
L69_center_00040,69,center,ck4,CK4,contiguous_random,contiguous,random,0.32550609681200193,136
L69_center_00041,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3402491351099904,136
L69_center_00042,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3313245784203318,136
L69_center_00043,69,center,ck4,CK4,contiguous_random,contiguous,random,0.2062842492517587,136
L69_center_00044,69,center,ck4,CK4,contiguous_random,contiguous,random,0.31881883467423466,136
L69_center_00045,69,center,ck4,CK4,contiguous_random,contiguous,random,0.33502296205323323,136
L69_center_00046,69,center,ck4,CK4,contiguous_random,contiguous,random,0.32018562128961947,136
L69_center_00047,69,center,ck4,CK4,contiguous_random,contiguous,random,0.33502296205323323,136
L69_center_00048,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3079631652789652,136
L69_center_00049,69,center,ck4,CK4,contiguous_random,contiguous,random,0.2870057842476352,136
L69_center_00050,69,center,ck4,CK4,contiguous_random,contiguous,random,0.30492842943117554,136
L69_center_00051,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3009874755451905,136
L69_center_00052,69,center,ck4,CK4,contiguous_random,contiguous,random,0.30796316527896517,136
L69_center_00053,69,center,ck4,CK4,contiguous_random,contiguous,random,0.290908518772297,136
L69_center_00054,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3138123222000536,136
