motif_position,length,observed_layout,representation,anchor_visible_rate,class_motif_visible_rate,any_class_motif_visible_rate,pair_visible_rate,partial_class_prefix_visible_rate,mi_label_pair_visible,mi_label_any_class_visible,mean_context_distance,base_tokens,k5_tokens,full_attention_base_pairs,full_attention_k5_pairs,classifier,accuracy,macro_f1,n_features
130,150,SE150,kmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,150,146,22500,21316,nearest_linear_probe,0.9722222222222222,0.9722079222079222,1024
130,150,SE150,ckmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,150,146,22500,21316,nearest_linear_probe,0.9907407407407407,0.9907389542735867,512
130,150,SE150,property_channels,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,150,146,22500,21316,nearest_linear_probe,1.0,1.0,750
130,150,SE150,rope_property,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,150,146,22500,21316,nearest_linear_probe,1.0,1.0,2400
130,150,SE150,spaced_kmer_phase,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,150,146,22500,21316,nearest_linear_probe,1.0,1.0,2304
130,150,SE150,cspaced_property_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,150,146,22500,21316,nearest_linear_probe,0.6481481481481481,0.6486215538847118,147
130,150,SE150,oracle_motif_pair,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,150,146,22500,21316,nearest_linear_probe,1.0,1.0,11
130,155,SE155,kmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,155,151,24025,22801,nearest_linear_probe,0.9814814814814815,0.9816013196294886,1024
130,155,SE155,ckmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,155,151,24025,22801,nearest_linear_probe,0.9907407407407407,0.9907389542735867,512
130,155,SE155,property_channels,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,155,151,24025,22801,nearest_linear_probe,1.0,1.0,775
