sample_id,length,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,paired_cosine,n_features
Burkholderia_cepacia_L69_R0072,69,ck4,CK4,contiguous_property,contiguous,property,0.27171004881618344,0.9630868246861538,136
Enterobacter_asburiae_L69_R0051,69,ck4,CK4,dispersed_random,dispersed,random,0.34880956789385037,0.9391659426728527,136
Enterobacter_asburiae_L69_R0051,69,ck4,CK4,dispersed_property,dispersed,property,0.37639288819152206,0.9291641968594223,136
Enterobacter_asburiae_L69_R0051,69,ck4,CK4,contiguous_random,contiguous,random,0.28883295943088516,0.9582877607731983,136
Enterobacter_asburiae_L69_R0051,69,ck4,CK4,contiguous_property,contiguous,property,0.28883295943088516,0.9582877607731983,136
Enterobacter_asburiae_L69_R0012,69,ck4,CK4,dispersed_random,dispersed,random,0.36609257281298807,0.9329881140655835,136
Enterobacter_asburiae_L69_R0012,69,ck4,CK4,dispersed_property,dispersed,property,0.3904857725874242,0.9237604307034012,136
Enterobacter_asburiae_L69_R0012,69,ck4,CK4,contiguous_random,contiguous,random,0.36004114991154784,0.9351851851851853,136
Enterobacter_asburiae_L69_R0012,69,ck4,CK4,contiguous_property,contiguous,property,0.3073437246524405,0.9527699174583827,136
Enterobacter_asburiae_L69_R0040,69,ck4,CK4,dispersed_random,dispersed,random,0.2189464158226119,0.9760312334992159,136
