fold,classifier,accuracy,macro_f1,n_features,n_train,n_test,n_train_groups,n_test_groups,length,representation,n_samples,n_groups,n_classes,label_control,permutation
3,contract_logistic,0.37037037037037035,0.2965986394557823,11,234,54,26,6,50,p,288,32,3,within_source_permutation,3
3,nearest_centroid,0.37037037037037035,0.32515793385358605,11,234,54,26,6,50,p,288,32,3,within_source_permutation,3
4,contract_logistic,0.4074074074074074,0.326571004453241,11,234,54,26,6,50,p,288,32,3,within_source_permutation,3
4,nearest_centroid,0.4074074074074074,0.32608695652173914,11,234,54,26,6,50,p,288,32,3,within_source_permutation,3
5,contract_logistic,0.3888888888888889,0.33756613756613757,11,234,54,26,6,50,p,288,32,3,within_source_permutation,3
5,nearest_centroid,0.3888888888888889,0.3561794920274784,11,234,54,26,6,50,p,288,32,3,within_source_permutation,3
1,contract_logistic,0.23809523809523808,0.2124471952058159,75,225,63,25,7,50,msp,288,32,3,within_source_permutation,3
1,nearest_centroid,0.25396825396825395,0.24655011270548133,75,225,63,25,7,50,msp,288,32,3,within_source_permutation,3
2,contract_logistic,0.38095238095238093,0.375,75,225,63,25,7,50,msp,288,32,3,within_source_permutation,3
2,nearest_centroid,0.36507936507936506,0.35804093567251455,75,225,63,25,7,50,msp,288,32,3,within_source_permutation,3
3,contract_logistic,0.35185185185185186,0.34035087719298246,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,3
3,nearest_centroid,0.35185185185185186,0.34161914297737733,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,3
4,contract_logistic,0.35185185185185186,0.3486291486291487,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,3
4,nearest_centroid,0.35185185185185186,0.3486291486291487,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,3
5,contract_logistic,0.2962962962962963,0.30142928966458377,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,3
5,nearest_centroid,0.2962962962962963,0.30142928966458377,75,234,54,26,6,50,msp,288,32,3,within_source_permutation,3
1,contract_logistic,0.23809523809523808,0.20634920634920637,86,225,63,25,7,50,p_msp,288,32,3,within_source_permutation,3
1,nearest_centroid,0.25396825396825395,0.2322027758712728,86,225,63,25,7,50,p_msp,288,32,3,within_source_permutation,3
2,contract_logistic,0.31746031746031744,0.31031543052003413,86,225,63,25,7,50,p_msp,288,32,3,within_source_permutation,3
