representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ckmer4_property_multiscale_l2,nearest_centroid,151,5,296,0.2391304347826087,0.23374840262712113,within_genus_species,Enterobacter,69,clean,label
ckmer4_property_multiscale_l2,logistic,151,5,296,0.30434782608695654,0.29774891774891776,within_genus_species,Enterobacter,69,clean,label
ckmer4_property_anchor_l2,nearest_centroid,151,5,224,0.2391304347826087,0.23374840262712113,within_genus_species,Enterobacter,69,clean,label
ckmer4_property_anchor_l2,logistic,151,5,224,0.21739130434782608,0.2152839363365679,within_genus_species,Enterobacter,69,clean,label
ckmer5_count_l2,nearest_centroid,151,5,507,0.21739130434782608,0.21098266027058593,within_genus_species,Enterobacter,69,clean,label
ckmer5_count_l2,logistic,151,5,507,0.2826086956521739,0.2780474060969417,within_genus_species,Enterobacter,69,clean,label
ckmer5_property_moment_l2,nearest_centroid,151,5,557,0.2608695652173913,0.2591630591630592,within_genus_species,Enterobacter,69,clean,label
ckmer5_property_moment_l2,logistic,151,5,557,0.30434782608695654,0.29143589743589743,within_genus_species,Enterobacter,69,clean,label
ckmer5_property_multiscale_l2,nearest_centroid,151,5,667,0.2391304347826087,0.23366107576633893,within_genus_species,Enterobacter,69,clean,label
ckmer5_property_multiscale_l2,logistic,151,5,667,0.2608695652173913,0.24588516746411485,within_genus_species,Enterobacter,69,clean,label
ckmer5_property_anchor_l2,nearest_centroid,151,5,595,0.2391304347826087,0.23366107576633893,within_genus_species,Enterobacter,69,clean,label
ckmer5_property_anchor_l2,logistic,151,5,595,0.30434782608695654,0.3159356725146199,within_genus_species,Enterobacter,69,clean,label
cspaced_property_l2,nearest_centroid,151,5,147,0.15217391304347827,0.12956521739130433,within_genus_species,Enterobacter,69,clean,label
cspaced_property_l2,logistic,151,5,147,0.1956521739130435,0.1985858230251823,within_genus_species,Enterobacter,69,clean,label
