length,condition,representation,n_pairs,n_features,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
75,local_mismatch_6bp,CK4P-MSP_train_zscore,250,222,1.0,0.9266037972144668,0.8273029754877982,0.36463509832551677,0.5876967881896494,0.2250143997188923,1.0
75,local_mismatch_6bp,CK4P-MSP_unit_range,250,222,1.0,0.9748463640308321,0.9663095822231029,0.222756108350506,0.25957816207792955,0.11565616554132618,1.0
75,short_indel,P_declared,250,11,0.78,0.9999944455288243,0.9999811714567622,0.002269770646013514,0.0061363972862774775,1.9919363157839155e-05,0.748
75,short_indel,P_property_only,250,8,0.736,0.9999957544127227,0.99998489968853,0.0019848241479874266,0.005495438344858481,1.5807167394641384e-05,0.708
75,short_indel,P_auxiliary_only,250,3,0.404,0.9999914018823247,0.9999626764289636,0.0026845947815255745,0.00863775208213901,-7.721907906000691e-06,0.324
75,short_indel,P_train_zscore,250,11,0.868,0.9914262662309387,0.9640970874451877,0.08192252134430578,0.2678996790434597,0.013624521272681992,0.86
75,short_indel,P_unit_range,250,11,0.888,0.9999757289786833,0.9999092872305156,0.00472666509833153,0.013469375297804778,0.0001541787083718815,0.868
75,short_indel,MSP_declared,250,75,1.0,0.999900744056719,0.9996613296734448,0.009897012656507175,0.026025753803481332,0.0016143963165060255,1.0
75,short_indel,MSP_train_zscore,250,75,1.0,0.9859934706644946,0.9518261408692962,0.11420835957798298,0.3103947674854114,0.21212676183372509,1.0
75,short_indel,MSP_unit_range,250,75,1.0,0.9993689996555865,0.9979193358015295,0.02496616405505563,0.0645082654431758,0.011650645313645106,1.0
75,short_indel,CK4+P_declared,250,147,1.0,0.9922962887261279,0.9727000584437965,0.08614485649079698,0.2336639037047898,0.17977211618274228,1.0
75,short_indel,CK4+P_property_only,250,144,1.0,0.9922969431680769,0.972704554339942,0.08614103154402714,0.23364469456625783,0.17977127699486722,1.0
75,short_indel,CK4+P_auxiliary_only,250,139,1.0,0.9922947669028779,0.9726916132745556,0.08615596373972946,0.23370025012857318,0.17943374109259072,1.0
75,short_indel,CK4+P_train_zscore,250,147,1.0,0.988012199077185,0.9598894330354218,0.10674458395050611,0.2832197884533996,0.22825728461567826,1.0
75,short_indel,CK4+P_unit_range,250,147,1.0,0.9922869304510573,0.972649314331914,0.08620227328247976,0.23388113640826524,0.18120428040326345,1.0
75,short_indel,CK4P-MSP_declared,250,222,1.0,0.9948311071696584,0.9817059131707218,0.0706037523607127,0.1912775101688311,0.12159604606447623,1.0
75,short_indel,CK4P-MSP_property_only,250,219,1.0,0.994831543464291,0.981708910434819,0.07060064626552488,0.19126187247870516,0.12159446686659774,1.0
75,short_indel,CK4P-MSP_auxiliary_only,250,214,1.0,0.994830092620825,0.9817002830578946,0.07061273892880675,0.19130715148092878,0.12137164952202963,1.0
75,short_indel,CK4P-MSP_train_zscore,250,222,1.0,0.9873392896062881,0.9601185021796576,0.11094193271457754,0.2824036754049742,0.27565702297213907,1.0
75,short_indel,CK4P-MSP_unit_range,250,222,1.0,0.9946476201859005,0.9812452873856871,0.07204360252628744,0.19366873422513964,0.13125448606367843,1.0
100,substitution_1pct,P_declared,250,11,0.688,0.9999917748014846,0.9999724343886532,0.0027645613532304883,0.007425021384232751,1.193282363461412e-05,0.676
100,substitution_1pct,P_property_only,250,8,0.664,0.9999918258671803,0.999972943919478,0.0027515007370392743,0.007356060988124467,8.566870951696615e-06,0.656
100,substitution_1pct,P_auxiliary_only,250,3,0.4,0.9999977679784665,0.9999913738472197,0.0010565132132462653,0.004153552651391789,-2.1054647296154807e-06,0.36
100,substitution_1pct,P_train_zscore,250,11,0.816,0.9950053154982954,0.9801718354409679,0.06549380196014196,0.19911716020644712,0.012316177733557523,0.804
100,substitution_1pct,P_unit_range,250,11,0.772,0.9999593840073777,0.9998587948865876,0.0062109636741750004,0.016805059818022498,0.0001128305453046834,0.752
