split,classifier,accuracy,macro_f1,length,local_mode,representation,n_samples,n_features,accuracy_std,macro_f1_std,mutation_fraction
holdout,nearest_centroid,0.7666666666666667,0.765625,150,right,ck4p_msp,360,222,,,0.01
holdout,logistic,0.9666666666666667,0.9666295884315907,150,right,ck4p_msp,360,222,,,0.01
5fold_grouped_cv,nearest_centroid,0.7305555555555555,0.7282871456448208,150,right,ck4p_msp,360,222,0.06724288020505667,0.0691272443645528,0.01
5fold_grouped_cv,logistic,0.9777777777777779,0.9777347980443956,150,right,ck4p_msp,360,222,0.020786985482077462,0.02084446370950324,0.01
holdout,nearest_centroid,0.7083333333333334,0.7023598611012685,69,center,ck4,360,136,,,0.03
holdout,logistic,0.7666666666666667,0.7666018338427341,69,center,ck4,360,136,,,0.03
5fold_grouped_cv,nearest_centroid,0.6638888888888889,0.662565539574634,69,center,ck4,360,136,0.04922234762963709,0.04946768283092775,0.03
5fold_grouped_cv,logistic,0.7472222222222221,0.7456917114916687,69,center,ck4,360,136,0.0355729124301825,0.03661358393248363,0.03
holdout,nearest_centroid,0.7083333333333334,0.7023598611012685,69,center,ck4_p,360,147,,,0.03
holdout,logistic,0.7833333333333333,0.783273131425396,69,center,ck4_p,360,147,,,0.03
5fold_grouped_cv,nearest_centroid,0.6638888888888889,0.662565539574634,69,center,ck4_p,360,147,0.04922234762963709,0.04946768283092775,0.03
5fold_grouped_cv,logistic,0.7666666666666668,0.7655972568951975,69,center,ck4_p,360,147,0.04427049291808119,0.044565588608603254,0.03
holdout,nearest_centroid,0.7416666666666667,0.7385988335324292,69,center,ck4_msp,360,211,,,0.03
holdout,logistic,0.9583333333333334,0.9582608695652174,69,center,ck4_msp,360,211,,,0.03
5fold_grouped_cv,nearest_centroid,0.6972222222222223,0.6955298742315434,69,center,ck4_msp,360,211,0.04513354669242199,0.04550466641869544,0.03
5fold_grouped_cv,logistic,0.9583333333333334,0.9582123107386898,69,center,ck4_msp,360,211,0.019641855032959663,0.019757612700276154,0.03
holdout,nearest_centroid,0.7416666666666667,0.7385988335324292,69,center,ck4p_msp,360,222,,,0.03
holdout,logistic,0.9583333333333334,0.9582608695652174,69,center,ck4p_msp,360,222,,,0.03
5fold_grouped_cv,nearest_centroid,0.6972222222222223,0.6955298742315434,69,center,ck4p_msp,360,222,0.04513354669242199,0.04550466641869544,0.03
5fold_grouped_cv,logistic,0.961111111111111,0.9610002912658009,69,center,ck4p_msp,360,222,0.020412414523193156,0.020535952946427124,0.03
holdout,nearest_centroid,0.7333333333333333,0.7330367074527253,69,jittered,ck4,360,136,,,0.03
holdout,logistic,0.8083333333333333,0.8082134667500521,69,jittered,ck4,360,136,,,0.03
5fold_grouped_cv,nearest_centroid,0.7555555555555555,0.7540670036485254,69,jittered,ck4,360,136,0.025760051376376943,0.026114952653453913,0.03
5fold_grouped_cv,logistic,0.7916666666666667,0.7910413672351753,69,jittered,ck4,360,136,0.03042903097250925,0.03077506698230226,0.03
holdout,nearest_centroid,0.7333333333333333,0.7330367074527253,69,jittered,ck4_p,360,147,,,0.03
holdout,logistic,0.8083333333333333,0.8083200222237655,69,jittered,ck4_p,360,147,,,0.03
5fold_grouped_cv,nearest_centroid,0.7555555555555555,0.7540670036485254,69,jittered,ck4_p,360,147,0.025760051376376943,0.026114952653453913,0.03
5fold_grouped_cv,logistic,0.8222222222222222,0.8217816533648813,69,jittered,ck4_p,360,147,0.04063538566202167,0.04063634281854986,0.03
holdout,nearest_centroid,0.7333333333333333,0.7330367074527253,69,jittered,ck4_msp,360,211,,,0.03
holdout,logistic,0.8833333333333333,0.8830409356725146,69,jittered,ck4_msp,360,211,,,0.03
5fold_grouped_cv,nearest_centroid,0.7611111111111111,0.7593772861013506,69,jittered,ck4_msp,360,211,0.018425693279752194,0.019299706817545184,0.03
5fold_grouped_cv,logistic,0.9111111111111111,0.9108222318569004,69,jittered,ck4_msp,360,211,0.028598972613852774,0.028864495372666985,0.03
holdout,nearest_centroid,0.7333333333333333,0.7330367074527253,69,jittered,ck4p_msp,360,222,,,0.03
holdout,logistic,0.8916666666666667,0.89129677374399,69,jittered,ck4p_msp,360,222,,,0.03
5fold_grouped_cv,nearest_centroid,0.7611111111111111,0.7593772861013506,69,jittered,ck4p_msp,360,222,0.018425693279752194,0.019299706817545184,0.03
5fold_grouped_cv,logistic,0.9194444444444445,0.9192564151775588,69,jittered,ck4p_msp,360,222,0.018425693279752235,0.018556799367333607,0.03
holdout,nearest_centroid,0.725,0.7245217391304348,69,left,ck4,360,136,,,0.03
holdout,logistic,0.6333333333333333,0.6324143692564745,69,left,ck4,360,136,,,0.03
5fold_grouped_cv,nearest_centroid,0.7166666666666666,0.7156689107291397,69,left,ck4,360,136,0.05166965343816188,0.05238711683211806,0.03
5fold_grouped_cv,logistic,0.6972222222222223,0.6958390478643643,69,left,ck4,360,136,0.06596856715021066,0.06591036574536677,0.03
holdout,nearest_centroid,0.725,0.7245217391304348,69,left,ck4_p,360,147,,,0.03
holdout,logistic,0.6583333333333333,0.6564005866331448,69,left,ck4_p,360,147,,,0.03
