length,local_mode,representation,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,local_minus_noise_l2_ci_low,local_minus_noise_l2_ci_high,selective_sensitivity_ratio_mean,selective_sensitivity_ratio_ci_low,selective_sensitivity_ratio_ci_high,noise_cosine_mean,local_cosine_mean,n_features,density,avg_nnz_per_read,n_triplets,mutation_fraction
69,jittered,ck4p_msp,0.22544677102121471,0.1819032753915559,-0.04354349562965884,-0.047322883198680665,-0.039610116381630596,0.8151384266805252,0.7990753008410367,0.8307855123876735,0.9743084274031816,0.9833187772246055,222,0.5492492492492492,121.93333333333334,180,0.03
69,left,ck4,0.3850801915979375,0.31670507469668474,-0.0683751169012528,-0.075534636861598,-0.06152812773809275,0.834218119299912,0.8138797116491006,0.8567138874462586,0.9247772421400661,0.9491746726919164,136,0.3801334422657952,51.69814814814815,180,0.03
69,left,ck4_p,0.27235173623489456,0.2241024338379847,-0.048249302396909895,-0.053225587777905425,-0.043437659335677864,0.8346418975945252,0.8143334616648374,0.856973958384388,0.9623726023538004,0.9745614298866768,147,0.41971529352481735,61.69814814814815,180,0.03
69,left,ck4_msp,0.2727489289259936,0.2248330871563853,-0.04791584176960833,-0.05287694423786441,-0.04314992104602847,0.8360903790583957,0.8159607724404377,0.8581065133677559,0.9622660769714189,0.9744084124342155,211,0.5293751097068633,111.69814814814815,180,0.03
69,left,ck4p_msp,0.2227465791536426,0.18367617055996,-0.03907040859368263,-0.04311649704011375,-0.035178417541325994,0.8363707884575474,0.8162676840926328,0.8583594566800788,0.9748333721701242,0.9829216706499561,222,0.5481898565231899,121.69814814814815,180,0.03
69,right,ck4,0.3854550145094731,0.31748487943721215,-0.06797013507226095,-0.07508747261749332,-0.06053205450004639,0.8375720886866796,0.8185116299211689,0.8578549221736353,0.9245776799275764,0.9492491087692234,136,0.3812772331154684,51.8537037037037,180,0.03
69,right,ck4_p,0.27261802693828713,0.22460590339566566,-0.04801212354262148,-0.05303547139020226,-0.04275330542818961,0.8377735238928147,0.8187371685267623,0.8580679919399926,0.9622728765765095,0.9745998449596208,147,0.4207734945830184,61.8537037037037,180,0.03
69,right,ck4_msp,0.2730084801807814,0.22531035301533567,-0.047698127165445726,-0.052705880998478206,-0.04245432331086523,0.8390420709456148,0.8199743091303786,0.8591712448579332,0.9621685552305215,0.9744411848610987,211,0.5301123398279797,111.8537037037037,180,0.03
69,right,ck4p_msp,0.2229595141073948,0.18405466326382358,-0.0389048508435712,-0.0429830719393204,-0.03462386147257923,0.8392418943426507,0.8201742099670881,0.8593833956138913,0.9747683945621618,0.9829443169574054,222,0.5488905572238906,121.8537037037037,180,0.03
100,center,ck4,0.36028078185921475,0.26856022599537277,-0.09172055586384194,-0.09744787852441816,-0.08594218632043256,0.7537370366603896,0.7407334152660756,0.7679331411026478,0.9342872558406459,0.9637351260045379,136,0.5039624183006536,68.53888888888889,180,0.03
100,center,ck4_p,0.2547992196345594,0.18998804195772295,-0.06481117767683645,-0.06886169438543155,-0.06073143281153119,0.7539526518707577,0.7409130417364883,0.7681415203520666,0.9671330511999829,0.9818508565116765,147,0.5342781557067271,78.53888888888889,180,0.03
100,center,ck4_msp,0.25507658447563547,0.19058914047217515,-0.06448744400346022,-0.06853501741125746,-0.060405143373735995,0.7554630141881163,0.7424994961590929,0.7696161372792463,0.9670630176213482,0.9817362890188117,211,0.609189046866772,128.5388888888889,180,0.03
100,center,ck4p_msp,0.2083035903177947,0.15568633745649813,-0.052617252861296475,-0.05592681985873223,-0.04928910161173377,0.7556768435609488,0.7427170286020687,0.7698659203812297,0.9780349606006722,0.9878130550188128,222,0.624049049049049,138.5388888888889,180,0.03
100,jittered,ck4,0.36576711948389606,0.2677677230680781,-0.09799939641581798,-0.1038957705505671,-0.09212868855676475,0.7396222588160223,0.7269993077337924,0.7535957121240899,0.9323171022186126,0.9639181639238303,136,0.5069035947712418,68.93888888888888,180,0.03
100,jittered,ck4_p,0.2586801085003403,0.18942742831139764,-0.06925268018894261,-0.07342993329690888,-0.06509764391592661,0.7398349626378512,0.7271848713734808,0.753795018401689,0.9661473558735365,0.9819426087430271,147,0.5369992441421013,78.93888888888888,180,0.03
100,jittered,ck4_msp,0.2589700579077163,0.18998355102517983,-0.06898650688253655,-0.07317923204965224,-0.06483965233047276,0.7411669703279782,0.7284652718800105,0.7550819418388056,0.9660725944910458,0.9818367229847095,211,0.6110847814639284,128.9388888888889,180,0.03
100,jittered,ck4p_msp,0.21148379058555922,0.15519162220516067,-0.05629216838039857,-0.05972191729470473,-0.05290068348495556,0.7413774901219431,0.7286948299181604,0.7552792064847604,0.9773742661701843,0.9878801665105476,222,0.6258508508508509,138.9388888888889,180,0.03
100,left,ck4,0.3640075225917796,0.2687304497421054,-0.09527707284967425,-0.10108811906724181,-0.08914408958609762,0.7467734746862651,0.732491751374092,0.7619893424637157,0.9329724752334673,0.9636620411728966,136,0.5078431372549019,69.06666666666666,180,0.03
