representation,classifier,split,fold,task,length,condition,n_samples,n_groups,n_classes,n_features,accuracy,macro_f1,genus,label_col
ck4,nearest_centroid,5fold_grouped_cv,3,target_background,69,clean,109,109,2,136,0.6363636363636364,0.5809523809523809,Candida,target_binary
ck4,logistic,5fold_grouped_cv,3,target_background,69,clean,109,109,2,136,0.6818181818181818,0.5111111111111111,Candida,target_binary
ck4,nearest_centroid,5fold_grouped_cv,4,target_background,69,clean,109,109,2,136,0.6818181818181818,0.6459770114942529,Candida,target_binary
ck4,logistic,5fold_grouped_cv,4,target_background,69,clean,109,109,2,136,0.5909090909090909,0.4545454545454546,Candida,target_binary
ck4,nearest_centroid,5fold_grouped_cv,5,target_background,69,clean,109,109,2,136,0.5454545454545454,0.47619047619047616,Candida,target_binary
ck4,logistic,5fold_grouped_cv,5,target_background,69,clean,109,109,2,136,0.5454545454545454,0.35294117647058826,Candida,target_binary
ck4_p,nearest_centroid,5fold_grouped_cv,1,target_background,69,clean,109,109,2,147,0.7272727272727273,0.65625,Candida,target_binary
ck4_p,logistic,5fold_grouped_cv,1,target_background,69,clean,109,109,2,147,0.5909090909090909,0.4545454545454546,Candida,target_binary
ck4_p,nearest_centroid,5fold_grouped_cv,2,target_background,69,clean,109,109,2,147,0.6666666666666666,0.6370370370370371,Candida,target_binary
ck4_p,logistic,5fold_grouped_cv,2,target_background,69,clean,109,109,2,147,0.6666666666666666,0.6100795755968169,Candida,target_binary
ck4_p,nearest_centroid,5fold_grouped_cv,3,target_background,69,clean,109,109,2,147,0.6363636363636364,0.5809523809523809,Candida,target_binary
ck4_p,logistic,5fold_grouped_cv,3,target_background,69,clean,109,109,2,147,0.7272727272727273,0.5416666666666667,Candida,target_binary
ck4_p,nearest_centroid,5fold_grouped_cv,4,target_background,69,clean,109,109,2,147,0.6818181818181818,0.6459770114942529,Candida,target_binary
ck4_p,logistic,5fold_grouped_cv,4,target_background,69,clean,109,109,2,147,0.6363636363636364,0.5416666666666666,Candida,target_binary
ck4_p,nearest_centroid,5fold_grouped_cv,5,target_background,69,clean,109,109,2,147,0.5454545454545454,0.47619047619047616,Candida,target_binary
ck4_p,logistic,5fold_grouped_cv,5,target_background,69,clean,109,109,2,147,0.6363636363636364,0.5416666666666666,Candida,target_binary
ck4p_msp,nearest_centroid,5fold_grouped_cv,1,target_background,69,clean,109,109,2,222,0.6818181818181818,0.6178660049627791,Candida,target_binary
ck4p_msp,logistic,5fold_grouped_cv,1,target_background,69,clean,109,109,2,222,0.5,0.39950372208436724,Candida,target_binary
