representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ckmer5_count_l2,logistic,59,2,508,0.5,0.4581939799331104,target_background,Escherichia,150,clean,target_binary
cspaced_count_l2,nearest_centroid,59,2,136,0.4444444444444444,0.41558441558441556,target_background,Escherichia,150,clean,target_binary
cspaced_count_l2,logistic,59,2,136,0.4444444444444444,0.41558441558441556,target_background,Escherichia,150,clean,target_binary
cspaced_property_l2,nearest_centroid,59,2,147,0.4444444444444444,0.41558441558441556,target_background,Escherichia,150,clean,target_binary
cspaced_property_l2,logistic,59,2,147,0.4444444444444444,0.41558441558441556,target_background,Escherichia,150,clean,target_binary
hybrid_ckmer5_csp,nearest_centroid,59,2,655,0.6111111111111112,0.6,target_background,Escherichia,150,clean,target_binary
hybrid_ckmer5_csp,logistic,59,2,655,0.3888888888888889,0.3377926421404682,target_background,Escherichia,150,clean,target_binary
minhash_k5_s128,nearest_centroid,59,2,128,0.3333333333333333,0.325,target_background,Escherichia,150,clean,target_binary
minhash_k5_s128,logistic,59,2,128,0.16666666666666666,0.16408668730650156,target_background,Escherichia,150,clean,target_binary
eiip_l2,nearest_centroid,59,2,150,0.5,0.4984520123839009,target_background,Escherichia,150,clean,target_binary
eiip_l2,logistic,59,2,150,0.4444444444444444,0.41558441558441556,target_background,Escherichia,150,clean,target_binary
eiip_summary_l2,nearest_centroid,59,2,8,0.6111111111111112,0.6,target_background,Escherichia,150,clean,target_binary
eiip_summary_l2,logistic,59,2,8,0.4444444444444444,0.4375,target_background,Escherichia,150,clean,target_binary
ck4,nearest_centroid,78,3,136,0.2916666666666667,0.2846153846153846,within_genus_species,Klebsiella,150,clean,label
ck4,logistic,78,3,136,0.4166666666666667,0.4047619047619048,within_genus_species,Klebsiella,150,clean,label
ck4_p,nearest_centroid,78,3,147,0.2916666666666667,0.2846153846153846,within_genus_species,Klebsiella,150,clean,label
ck4_p,logistic,78,3,147,0.4166666666666667,0.40256410256410263,within_genus_species,Klebsiella,150,clean,label
ck4p_msp,nearest_centroid,78,3,222,0.2916666666666667,0.28055555555555556,within_genus_species,Klebsiella,150,clean,label
ck4p_msp,logistic,78,3,222,0.375,0.36923076923076925,within_genus_species,Klebsiella,150,clean,label
ckmer5_count_l2,nearest_centroid,78,3,510,0.25,0.22857142857142856,within_genus_species,Klebsiella,150,clean,label
ckmer5_count_l2,logistic,78,3,510,0.375,0.3024691358024691,within_genus_species,Klebsiella,150,clean,label
cspaced_count_l2,nearest_centroid,78,3,136,0.2916666666666667,0.26406926406926406,within_genus_species,Klebsiella,150,clean,label
cspaced_count_l2,logistic,78,3,136,0.2916666666666667,0.2341269841269841,within_genus_species,Klebsiella,150,clean,label
cspaced_property_l2,nearest_centroid,78,3,147,0.25,0.21645021645021645,within_genus_species,Klebsiella,150,clean,label
cspaced_property_l2,logistic,78,3,147,0.3333333333333333,0.2782608695652174,within_genus_species,Klebsiella,150,clean,label
hybrid_ckmer5_csp,nearest_centroid,78,3,657,0.2916666666666667,0.26406926406926406,within_genus_species,Klebsiella,150,clean,label
hybrid_ckmer5_csp,logistic,78,3,657,0.4166666666666667,0.3683760683760684,within_genus_species,Klebsiella,150,clean,label
minhash_k5_s128,nearest_centroid,78,3,128,0.20833333333333334,0.1623931623931624,within_genus_species,Klebsiella,150,clean,label
minhash_k5_s128,logistic,78,3,128,0.2916666666666667,0.2076190476190476,within_genus_species,Klebsiella,150,clean,label
eiip_l2,nearest_centroid,78,3,150,0.3333333333333333,0.2272727272727273,within_genus_species,Klebsiella,150,clean,label
eiip_l2,logistic,78,3,150,0.375,0.3446153846153846,within_genus_species,Klebsiella,150,clean,label
eiip_summary_l2,nearest_centroid,78,3,8,0.3333333333333333,0.29308565531475744,within_genus_species,Klebsiella,150,clean,label
eiip_summary_l2,logistic,78,3,8,0.4583333333333333,0.4437229437229437,within_genus_species,Klebsiella,150,clean,label
ck4,nearest_centroid,78,2,136,0.5833333333333334,0.5555555555555556,target_background,Klebsiella,150,clean,target_binary
ck4,logistic,78,2,136,0.5,0.39495798319327735,target_background,Klebsiella,150,clean,target_binary
ck4_p,nearest_centroid,78,2,147,0.5833333333333334,0.5555555555555556,target_background,Klebsiella,150,clean,target_binary
ck4_p,logistic,78,2,147,0.5,0.3333333333333333,target_background,Klebsiella,150,clean,target_binary
ck4p_msp,nearest_centroid,78,2,222,0.5833333333333334,0.5555555555555556,target_background,Klebsiella,150,clean,target_binary
ck4p_msp,logistic,78,2,222,0.625,0.46928746928746934,target_background,Klebsiella,150,clean,target_binary
ckmer5_count_l2,nearest_centroid,78,2,510,0.625,0.5252747252747253,target_background,Klebsiella,150,clean,target_binary
ckmer5_count_l2,logistic,78,2,510,0.7083333333333334,0.5213675213675213,target_background,Klebsiella,150,clean,target_binary
cspaced_count_l2,nearest_centroid,78,2,136,0.5416666666666666,0.4990512333965844,target_background,Klebsiella,150,clean,target_binary
cspaced_count_l2,logistic,78,2,136,0.5833333333333334,0.53125,target_background,Klebsiella,150,clean,target_binary
cspaced_property_l2,nearest_centroid,78,2,147,0.5416666666666666,0.4990512333965844,target_background,Klebsiella,150,clean,target_binary
cspaced_property_l2,logistic,78,2,147,0.5833333333333334,0.53125,target_background,Klebsiella,150,clean,target_binary
hybrid_ckmer5_csp,nearest_centroid,78,2,657,0.5833333333333334,0.4444444444444444,target_background,Klebsiella,150,clean,target_binary
hybrid_ckmer5_csp,logistic,78,2,657,0.6666666666666666,0.49473684210526314,target_background,Klebsiella,150,clean,target_binary
minhash_k5_s128,nearest_centroid,78,2,128,0.625,0.5636363636363637,target_background,Klebsiella,150,clean,target_binary
minhash_k5_s128,logistic,78,2,128,0.5833333333333334,0.4444444444444444,target_background,Klebsiella,150,clean,target_binary
eiip_l2,nearest_centroid,78,2,150,0.5416666666666666,0.4197802197802198,target_background,Klebsiella,150,clean,target_binary
eiip_l2,logistic,78,2,150,0.6666666666666666,0.49473684210526314,target_background,Klebsiella,150,clean,target_binary
eiip_summary_l2,nearest_centroid,78,2,8,0.16666666666666666,0.16666666666666666,target_background,Klebsiella,150,clean,target_binary
eiip_summary_l2,logistic,78,2,8,0.6666666666666666,0.4,target_background,Klebsiella,150,clean,target_binary
ck4,nearest_centroid,114,4,136,0.34285714285714286,0.3178030303030303,within_genus_species,Acinetobacter,150,substitution_1pct,label
ck4,logistic,114,4,136,0.45714285714285713,0.4198448610213316,within_genus_species,Acinetobacter,150,substitution_1pct,label
ck4_p,nearest_centroid,114,4,147,0.34285714285714286,0.31812547673531655,within_genus_species,Acinetobacter,150,substitution_1pct,label
ck4_p,logistic,114,4,147,0.42857142857142855,0.3875025437525438,within_genus_species,Acinetobacter,150,substitution_1pct,label
ck4p_msp,nearest_centroid,114,4,222,0.34285714285714286,0.31812547673531655,within_genus_species,Acinetobacter,150,substitution_1pct,label
ck4p_msp,logistic,114,4,222,0.37142857142857144,0.3334935897435897,within_genus_species,Acinetobacter,150,substitution_1pct,label
ckmer5_count_l2,nearest_centroid,114,4,512,0.2857142857142857,0.287828947368421,within_genus_species,Acinetobacter,150,substitution_1pct,label
ckmer5_count_l2,logistic,114,4,512,0.2,0.1919642857142857,within_genus_species,Acinetobacter,150,substitution_1pct,label
