representation,representation_label,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ck4_p,CK4+P,logistic,59,2,147,0.6666666666666666,0.6625,within_genus_species,Escherichia,69,clean,label
ck4p_msp,CK4P-MSP,nearest_centroid,59,2,222,0.6666666666666666,0.6493506493506493,within_genus_species,Escherichia,69,clean,label
ck4p_msp,CK4P-MSP,logistic,59,2,222,0.6666666666666666,0.6493506493506493,within_genus_species,Escherichia,69,clean,label
ckmer5_count_l2,CK5,nearest_centroid,59,2,506,0.6111111111111112,0.6,within_genus_species,Escherichia,69,clean,label
ckmer5_count_l2,CK5,logistic,59,2,506,0.5555555555555556,0.5324675324675324,within_genus_species,Escherichia,69,clean,label
ck5_pca147,CK5 PCA-147,nearest_centroid,59,2,40,0.6111111111111112,0.6,within_genus_species,Escherichia,69,clean,label
ck5_pca147,CK5 PCA-147,logistic,59,2,40,0.5555555555555556,0.55,within_genus_species,Escherichia,69,clean,label
ck5_pca222,CK5 PCA-222,nearest_centroid,59,2,40,0.6111111111111112,0.6,within_genus_species,Escherichia,69,clean,label
ck5_pca222,CK5 PCA-222,logistic,59,2,40,0.5555555555555556,0.55,within_genus_species,Escherichia,69,clean,label
ck5_svd147,CK5 SVD-147,nearest_centroid,59,2,40,0.6111111111111112,0.6,within_genus_species,Escherichia,69,clean,label
ck5_svd147,CK5 SVD-147,logistic,59,2,40,0.5555555555555556,0.55,within_genus_species,Escherichia,69,clean,label
ck5_svd222,CK5 SVD-222,nearest_centroid,59,2,40,0.6111111111111112,0.6,within_genus_species,Escherichia,69,clean,label
ck5_svd222,CK5 SVD-222,logistic,59,2,40,0.5555555555555556,0.55,within_genus_species,Escherichia,69,clean,label
ck7_pca147,CK7 PCA-147,nearest_centroid,59,2,40,0.6666666666666666,0.6625,within_genus_species,Escherichia,69,clean,label
ck7_pca147,CK7 PCA-147,logistic,59,2,40,0.6666666666666666,0.6625,within_genus_species,Escherichia,69,clean,label
ck7_pca222,CK7 PCA-222,nearest_centroid,59,2,40,0.6666666666666666,0.6625,within_genus_species,Escherichia,69,clean,label
ck7_pca222,CK7 PCA-222,logistic,59,2,40,0.6666666666666666,0.6625,within_genus_species,Escherichia,69,clean,label
ck7_svd147,CK7 SVD-147,nearest_centroid,59,2,40,0.6111111111111112,0.5785953177257526,within_genus_species,Escherichia,69,clean,label
ck7_svd147,CK7 SVD-147,logistic,59,2,40,0.6111111111111112,0.5785953177257526,within_genus_species,Escherichia,69,clean,label
ck7_svd222,CK7 SVD-222,nearest_centroid,59,2,40,0.6111111111111112,0.5785953177257526,within_genus_species,Escherichia,69,clean,label
ck7_svd222,CK7 SVD-222,logistic,59,2,40,0.6111111111111112,0.5785953177257526,within_genus_species,Escherichia,69,clean,label
ck4,CK4,nearest_centroid,59,2,136,0.6666666666666666,0.6493506493506493,target_background,Escherichia,69,clean,target_binary
ck4,CK4,logistic,59,2,136,0.6666666666666666,0.6625,target_background,Escherichia,69,clean,target_binary
ck4_p,CK4+P,nearest_centroid,59,2,147,0.6666666666666666,0.6493506493506493,target_background,Escherichia,69,clean,target_binary
ck4_p,CK4+P,logistic,59,2,147,0.6666666666666666,0.6625,target_background,Escherichia,69,clean,target_binary
ck4p_msp,CK4P-MSP,nearest_centroid,59,2,222,0.6666666666666666,0.6493506493506493,target_background,Escherichia,69,clean,target_binary
ck4p_msp,CK4P-MSP,logistic,59,2,222,0.6666666666666666,0.6493506493506493,target_background,Escherichia,69,clean,target_binary
ckmer5_count_l2,CK5,nearest_centroid,59,2,506,0.6111111111111112,0.6,target_background,Escherichia,69,clean,target_binary
ckmer5_count_l2,CK5,logistic,59,2,506,0.5555555555555556,0.5324675324675324,target_background,Escherichia,69,clean,target_binary
ck5_pca147,CK5 PCA-147,nearest_centroid,59,2,40,0.6111111111111112,0.6,target_background,Escherichia,69,clean,target_binary
ck5_pca147,CK5 PCA-147,logistic,59,2,40,0.5555555555555556,0.55,target_background,Escherichia,69,clean,target_binary
ck5_pca222,CK5 PCA-222,nearest_centroid,59,2,40,0.6111111111111112,0.6,target_background,Escherichia,69,clean,target_binary
ck5_pca222,CK5 PCA-222,logistic,59,2,40,0.5555555555555556,0.55,target_background,Escherichia,69,clean,target_binary
ck5_svd147,CK5 SVD-147,nearest_centroid,59,2,40,0.6111111111111112,0.6,target_background,Escherichia,69,clean,target_binary
ck5_svd147,CK5 SVD-147,logistic,59,2,40,0.5555555555555556,0.55,target_background,Escherichia,69,clean,target_binary
ck5_svd222,CK5 SVD-222,nearest_centroid,59,2,40,0.6111111111111112,0.6,target_background,Escherichia,69,clean,target_binary
ck5_svd222,CK5 SVD-222,logistic,59,2,40,0.5555555555555556,0.55,target_background,Escherichia,69,clean,target_binary
ck7_pca147,CK7 PCA-147,nearest_centroid,59,2,40,0.6666666666666666,0.6625,target_background,Escherichia,69,clean,target_binary
