retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,quality_bin,mean_phred_min,mean_phred_mean,mean_phred_max,observed_base_difference_rate_mean,representation,representation_label,n_pairs,n_features,density,avg_nnz_per_read
0.9975,0.9141661128617231,0.8543166503290924,0.39825888153496797,0.5377179731146086,0.22658230768727486,0.9975,100,high,32.03,32.70869481765835,35.31,0.04745,ck4,CK4,400,136,0.4511121323529412,61.35125
1.0,0.9580413220914307,0.9271521901593227,0.28285531501280337,0.381700801569281,0.11540653129787608,1.0,100,high,32.03,32.70869481765835,35.31,0.04745,ck4_p,CK4+P,400,147,0.4853061224489796,71.34
1.0,0.958171679558811,0.9274454659155045,0.2824287249846839,0.38093178260126603,0.11754601466640512,1.0,100,high,32.03,32.70869481765835,35.31,0.04745,ck4_msp,CK4+MSP,400,211,0.5747037914691943,121.2625
1.0,0.9719680778685962,0.951356620330622,0.23125125696864945,0.3119078445599318,0.07904056832919774,1.0,100,high,32.03,32.70869481765835,35.31,0.04745,ck4p_msp,CK4P-MSP,400,222,0.5912218468468469,131.25125
0.9975,0.8402336519358318,0.7317884732002592,0.5485639644269077,0.7321785604256908,0.4251492461052041,0.9975,100,high,32.03,32.70869481765835,35.31,0.04745,ckmer5_count_l2,canonical 5-mer,400,512,0.1574658203125,80.6225
1.0,0.9960034724772897,0.9813334904018918,0.04448340121416617,0.19321713093115991,0.2664911923193594,1.0,125,low,35.168,36.27254906682721,36.544,0.00252,ck4,CK4,400,136,0.5128400735294117,69.74625
1.0,0.9980007650435888,0.9906648946890289,0.031467628278681506,0.13663868378753471,0.13358502874908038,1.0,125,low,35.168,36.27254906682721,36.544,0.00252,ck4_p,CK4+P,400,147,0.5424914965986395,79.74625
1.0,0.9979962952974359,0.9906572312887205,0.031510954690768186,0.13669474261373718,0.1349614414253283,1.0,125,low,35.168,36.27254906682721,36.544,0.00252,ck4_msp,CK4+MSP,400,211,0.6148992890995261,129.74375
1.0,0.9986635494015869,0.9937702538512022,0.025736003277831366,0.11162183984170009,0.09019208365599722,1.0,125,low,35.168,36.27254906682721,36.544,0.00252,ck4p_msp,CK4P-MSP,400,222,0.6294763513513514,139.74375
1.0,0.9915322634571954,0.9619332567086315,0.06507491365204732,0.2759175098023529,0.5322578175398414,1.0,125,low,35.168,36.27254906682721,36.544,0.00252,ckmer5_count_l2,canonical 5-mer,400,512,0.19056640625,97.57
0.995,0.9918047176273842,0.9835491253888802,0.03763269587109853,0.18019736801191363,0.2672894548942685,0.995,125,mid,36.544,36.73212763395545,36.88,0.00196,ck4,CK4,400,136,0.5073069852941177,68.99375
0.9975,0.9983244872688987,0.9918036579466869,0.02723781993281544,0.12803390663327394,0.13399039771719368,0.995,125,mid,36.544,36.73212763395545,36.88,0.00196,ck4_p,CK4+P,400,147,0.5371768707482993,78.965
0.9975,0.9983935741811745,0.9918639597562161,0.026793487713520605,0.12756199105684082,0.1353312459570334,0.995,125,mid,36.544,36.73212763395545,36.88,0.00196,ck4_msp,CK4+MSP,400,211,0.6103376777251185,128.78125
0.9975,0.998890662500948,0.9945229079162226,0.022216486852076094,0.10466223374639524,0.09042998893289393,0.995,125,mid,36.544,36.73212763395545,36.88,0.00196,ck4p_msp,CK4P-MSP,400,222,0.6250112612612613,138.7525
0.995,0.9885086441985723,0.9666802428108935,0.05360358357134832,0.2564429602261584,0.5332170767107599,0.995,125,mid,36.544,36.73212763395545,36.88,0.00196,ckmer5_count_l2,canonical 5-mer,400,512,0.1891650390625,96.8525
1.0,0.99875426908666,0.98649094996581,0.015076879044998414,0.16437109567327463,0.2733278918568712,1.0,125,high,36.88,37.11089771359808,37.632,0.0007599999999999999,ck4,CK4,400,136,0.5120588235294118,69.64
1.0,0.9993768425018993,0.9932433378201077,0.01066355991696106,0.11624629899622134,0.13696783830131687,1.0,125,high,36.88,37.11089771359808,37.632,0.0007599999999999999,ck4_p,CK4+P,400,147,0.5417687074829932,79.64
1.0,0.9993752013523353,0.9932294813111621,0.010677825597685448,0.11636544937879376,0.13837076483250882,1.0,125,high,36.88,37.11089771359808,37.632,0.0007599999999999999,ck4_msp,CK4+MSP,400,211,0.6143957345971564,129.6375
1.0,0.9995832728739363,0.9954848960989102,0.008720523726384884,0.0950269831863429,0.09244549741226848,1.0,125,high,36.88,37.11089771359808,37.632,0.0007599999999999999,ck4p_msp,CK4P-MSP,400,222,0.6289977477477477,139.6375
1.0,0.9974825766703685,0.9731592429176597,0.021434408078440072,0.23169143358070024,0.5413297949529884,1.0,125,high,36.88,37.11089771359808,37.632,0.0007599999999999999,ckmer5_count_l2,canonical 5-mer,400,512,0.1901953125,97.38
1.0,0.995861260236766,0.9836034947531478,0.05272634782856162,0.18108833291139637,0.24548964702388326,1.0,150,low,35.21333333333333,36.09560396998305,36.38,0.0027333333333333333,ck4,CK4,400,136,0.5691544117647059,77.405
1.0,0.9979298188181821,0.9917938899557034,0.037290892759744926,0.1281101460785609,0.12302231044439264,1.0,150,low,35.21333333333333,36.09560396998305,36.38,0.0027333333333333333,ck4_p,CK4+P,400,147,0.5945918367346938,87.405
1.0,0.9979254132456582,0.9917693120081896,0.037332499178175056,0.12830187041473143,0.12418535506515463,1.0,150,low,35.21333333333333,36.09560396998305,36.38,0.0027333333333333333,ck4_msp,CK4+MSP,400,211,0.651196682464455,137.4025
1.0,0.9986164012969716,0.9945076363915465,0.030488160475014858,0.1048080355153514,0.08296798023468449,1.0,150,low,35.21333333333333,36.09560396998305,36.38,0.0027333333333333333,ck4p_msp,CK4P-MSP,400,222,0.6639752252252252,147.4025
1.0,0.9909863215070362,0.9662810934225365,0.07792274142872781,0.25968515225880867,0.5126450763633941,1.0,150,low,35.21333333333333,36.09560396998305,36.38,0.0027333333333333333,ckmer5_count_l2,canonical 5-mer,400,512,0.22197509765625,113.65125
1.0,0.9969919773762379,0.9876311861855605,0.04139430489384217,0.15728196431476582,0.2477535216256158,1.0,150,mid,36.38,36.53067538126361,36.67333333333333,0.002,ck4,CK4,400,136,0.5649448529411765,76.8325
1.0,0.9984953873253182,0.993814259838545,0.02927654736349962,0.11122712991789754,0.12418776518051107,1.0,150,mid,36.38,36.53067538126361,36.67333333333333,0.002,ck4_p,CK4+P,400,147,0.5906972789115646,86.8325
1.0,0.9984920645151715,0.9938077879922522,0.0293114117740822,0.11128528093454594,0.12541750399433207,1.0,150,mid,36.38,36.53067538126361,36.67333333333333,0.002,ck4_msp,CK4+MSP,400,211,0.6484952606635072,136.8325
1.0,0.9989943087682471,0.9958709698253443,0.023937843267178814,0.09087383178907556,0.08379577278605438,1.0,150,mid,36.38,36.53067538126361,36.67333333333333,0.002,ck4p_msp,CK4P-MSP,400,222,0.6614076576576576,146.8325
1.0,0.9935429328706651,0.9740085360091886,0.06061786466257333,0.22799764347948318,0.5133227820621796,1.0,150,mid,36.38,36.53067538126361,36.67333333333333,0.002,ckmer5_count_l2,canonical 5-mer,400,512,0.22112060546875,113.21375
0.9975,0.9984794052749948,0.988971829769939,0.02092255462512963,0.1485133298826809,0.24310460945673776,0.995,150,high,36.67333333333333,36.88713144517066,37.526666666666664,0.001,ck4,CK4,400,136,0.5640992647058823,76.7175
0.9975,0.99923942253529,0.9944844144792885,0.014797424181576863,0.10502906115992076,0.1218722237206147,0.995,150,high,36.67333333333333,36.88713144517066,37.526666666666664,0.001,ck4_p,CK4+P,400,147,0.5899319727891157,86.72
0.9975,0.999237874850845,0.994477687702715,0.014813604140592674,0.10509309672049541,0.12313663608625502,0.995,150,high,36.67333333333333,36.88713144517066,37.526666666666664,0.001,ck4_msp,CK4+MSP,400,211,0.6479502369668246,136.7175
0.9975,0.999491729832425,0.99631751946445,0.012097656166773616,0.0858190974665278,0.08230035112739004,0.995,150,high,36.67333333333333,36.88713144517066,37.526666666666664,0.001,ck4p_msp,CK4P-MSP,400,222,0.6609009009009009,146.72
0.9975,0.9967722101255931,0.9768469968255296,0.030478981741525617,0.21518828196610354,0.5044755812394932,0.995,150,high,36.67333333333333,36.88713144517066,37.526666666666664,0.001,ckmer5_count_l2,canonical 5-mer,400,512,0.22125244140625,113.28125
